id,title,year,rating,category,cast,director,summary,poster,created_at,updated_at
1,title,0,0,category,cast,director,summary,poster,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
2,Titanic,1997,3,Dramas,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber",James Cameron,This cinematic spectacle -- winner of 11 Oscars -- follows society girl Rose and penniless artist Jack as they fall in love just as tragedy strikes.,http://netflixroulette.net/api/posters/1181461.jpg,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
3,Lars and the Real Girl,2007,3,Comedies,"Ryan Gosling, Emily Mortimer, Paul Schneider, Patricia Clarkson, R.D. Reid, Kelli Garner, Nancy Beatty",Craig Gillespie,"When a delusional loner buys a life-sized sex doll and starts telling people that she's his girlfriend, his family decides it's time to intervene.",http://netflixroulette.net/api/posters/70058030.jpg,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
4,What's Eating Gilbert Grape,1993,3,Dramas,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, John C. Reilly, Crispin Glover",Lasse Hallström,"In a backwater Iowa town, Gilbert struggles to take care of his mentally disabled brother, Arnie, and provide for the rest of his family. But after falling for the stranded Becky, Gilbert discovers exciting new possibilities for his life.",http://netflixroulette.net/api/posters/60011552.jpg,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
5,Marvin's Room,1996,3,Dramas,"Meryl Streep, Leonardo DiCaprio, Diane Keaton, Robert De Niro, Hume Cronyn, Gwen Verdon, Hal Scardino, Dan Hedaya, Margo Martindale, Cynthia Nixon",Jerry Zaks,"In this adaptation of Scott McPherson's play, the tables are turned when straight-laced Bessie -- who devotes her life to caring for her chronically ill father -- suffers a health catastrophe of her own and must ask her estranged sibling for help.",http://netflixroulette.net/api/posters/744645.jpg,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
6,The Quick and the Dead,1995,3,Action & Adventure,"Sharon Stone, Gene Hackman, Russell Crowe, Leonardo DiCaprio, Tobin Bell, Roberts Blossom, Kevin Conway, Keith David, Lance Henriksen, Pat Hingle, Gary Sinise",Sam Raimi,"In this offbeat Western, a lady gunslinger arrives in a frontier town seeking revenge for the murder of her sheriff father by town boss John Herod.",http://netflixroulette.net/api/posters/885014.jpg,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
7,Django Unchained,2012,4,Dramas,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, Michael Parks, Don Johnson",Quentin Tarantino,"Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner.",http://netflixroulette.net/api/posters/70230640.jpg,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
8,Romeo + Juliet,1996,3,Romantic Movies,"Leonardo DiCaprio, Claire Danes, John Leguizamo, Harold Perrineau, Pete Postlethwaite, Paul Sorvino, Brian Dennehy, Paul Rudd, Vondie Curtis-Hall, Miriam Margolyes, Jesse Bradford, M. Emmet Walsh",Baz Luhrmann,"The bard's dialogue remains intact in this modern take on William Shakespeare's tragedy, as the children of two feuding families are drawn together.",http://netflixroulette.net/api/posters/60022807.jpg,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
9,The Wolf of Wall Street,2013,3,Dramas,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Jon Bernthal, Jon Favreau, Rob Reiner, Jean Dujardin, Joanna Lumley, Cristin Milioti, Christine Ebersole, Shea Whigham, Katarina Cas, P.J. Byrne, Kenneth Choi, Brian Sacca, H",Martin Scorsese,"Martin Scorcese's high-rolling Wall Street drama is based on the memoirs of stockbroker Jordan Belfort, whose giddy career ended in federal prison.",http://netflixroulette.net/api/posters/70266676.jpg,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
10,The United States of Leland,2003,3,Dramas,"Don Cheadle, Ryan Gosling, Chris Klein, Jena Malone, Lena Olin, Kevin Spacey, Michelle Williams, Martin Donovan, Ann Magnuson, Kerry Washington",Matthew Ryan Hoge,"Teenager Leland Fitzgerald appears to have everything going for him, including a famous writer father. So, what drove him to kill? It's up to a teacher who works with inmates to unearth the anger and fear lurking beneath Leland's unruffled surface.",http://netflixroulette.net/api/posters/60033355.jpg,2016-04-29 16:22:13 UTC,2016-04-29 16:22:13 UTC
